estado;sigla;regiao;cidade;populacao;pib;pib_percapita
BAHIA;BA;NORDESTE;CAPELA DO ALTO ALEGRE;12824;39229.1484375;3059.04003906
BAHIA;BA;NORDESTE;JANDAÍRA;10018;47592.953125;4750.74023438
BAHIA;BA;NORDESTE;PIATÃ;18470;61809.6015625;3346.48999023
BAHIA;BA;NORDESTE;ARATUÍPE;8822;31970.6171875;3623.95996094
BAHIA;BA;NORDESTE;ANTÔNIO CARDOSO;12589;52209.5390625;4147.22998047
BAHIA;BA;NORDESTE;CORAÇÃO DE MARIA;23774;98000.1328125;4122.16015625
BAHIA;BA;NORDESTE;ITAJUÍPE;20490;114653.1328125;5595.56982422
BAHIA;BA;NORDESTE;SERRA DOURADA;17858;73857.125;4135.79980469
BAHIA;BA;NORDESTE;CONCEIÇÃO DA FEIRA;20117;91810.5546875;4563.83007812
BAHIA;BA;NORDESTE;RIO DO PIRES;11612;36504.28125;3143.66992188
BAHIA;BA;NORDESTE;ANTAS;17583;54676.39453125;3109.62011719
BAHIA;BA;NORDESTE;BUERAREMA;20830;100712.015625;4834.95019531
BAHIA;BA;NORDESTE;BOQUIRA;22521;67164.5625;2982.31005859
BAHIA;BA;NORDESTE;PALMAS DE MONTE ALTO;22061;77169.4921875;3498.01000977
BAHIA;BA;NORDESTE;SANTA BRÍGIDA;15652;52940.23828125;3382.33007812
BAHIA;BA;NORDESTE;ITAPEBI;12003;170321.296875;14189.88964844
BAHIA;BA;NORDESTE;RAFAEL JAMBEIRO;24004;96287.0234375;4011.29003906
BAHIA;BA;NORDESTE;BONINAL;13857;40729.69921875;2939.29003906
BAHIA;BA;NORDESTE;MALHADA;16739;65119.53125;3890.29003906
BAHIA;BA;NORDESTE;NOVA CANAÃ;20311;66926.8984375;3295.11010742
BAHIA;BA;NORDESTE;UTINGA;20448;83166.9765625;4067.23999023
BAHIA;BA;NORDESTE;UIBAÍ;14203;45636.62109375;3213.16992188
BAHIA;BA;NORDESTE;POTIRAGUÁ;9656;42641.50390625;4416.06005859
BAHIA;BA;NORDESTE;ENCRUZILHADA;20720;109143.96875;5267.56982422
BAHIA;BA;NORDESTE;TAPIRAMUTÁ;17879;73053.015625;4085.9699707
BAHIA;BA;NORDESTE;VEREDA;7346;48446.7578125;6594.97998047
BAHIA;BA;NORDESTE;BARRO PRETO;6417;27834.43945312;4337.60986328
BAHIA;BA;NORDESTE;IPUPIARA;9325;31431.71484375;3370.68994141
BAHIA;BA;NORDESTE;ITAGI;14162;52461.01171875;3704.35009766
BAHIA;BA;NORDESTE;MUCUGÊ;14714;229213.171875;15577.90039062
BAHIA;BA;NORDESTE;IRAQUARA;24415;105232.5078125;4310.16015625
BAHIA;BA;NORDESTE;JACARACI;14837;49422.328125;3331.02001953
BAHIA;BA;NORDESTE;ITACARÉ;27170;102075.2734375;3756.90991211
BAHIA;BA;NORDESTE;ITORORÓ;20930;77047.1640625;3681.17993164
BAHIA;BA;NORDESTE;OUROLÂNDIA;17080;76238.53125;4463.60986328
BAHIA;BA;NORDESTE;ARACATU;14316;43216.1328125;3018.72998047
BAHIA;BA;NORDESTE;VITÓRIA DA CONQUISTA;318901;3142676.75;9854.70996094
BAHIA;BA;NORDESTE;CONDEÚBA;17210;64649.53125;3756.51000977
BAHIA;BA;NORDESTE;JACOBINA;79013;523242.1875;6622.22998047
BAHIA;BA;NORDESTE;MASCOTE;16590;57532.8671875;3467.91992188
BAHIA;BA;NORDESTE;CARDEAL DA SILVA;8618;48083.140625;5579.39013672
BAHIA;BA;NORDESTE;JAGUAQUARA;48206;246394.6875;5111.29003906
BAHIA;BA;NORDESTE;GANDU;31819;173949.265625;5466.83984375
BAHIA;BA;NORDESTE;ITAGUAÇU DA BAHIA;13269;49661.08984375;3742.63989258
